,name,player style,nationality,base price (in lacs),final price (in lacs),franchise,status
0,Harshit Rana,Bowler,India,20.0,20.0,KKR,RETAINED
1,Ekant Sen,Batter,India,20.0,150.0,CSK,UNSOLD
2,Wayne Parnell,Allrounder,South Africa,75.0,150.0,CSK,UNSOLD
3,Shakib Al Hasan,Allrounder,Bangladesh,150.0,150.0,KKR,SOLD
4,Joe Root,Batter,England,100.0,100.0,RR,SOLD
5,Abdul Basith,Allrounder,India,20.0,20.0,RR,SOLD
6,Prashant Chopra,Allrounder,India,20.0,150.0,CSK,UNSOLD
7,Akeal Hosein,Bowler,West Indies,100.0,100.0,SRH,SOLD
8,Raghav Goyal,Bowler,India,20.0,20.0,MI,SOLD
9,Yudhvir Singh Charak,Allrounder,India,20.0,20.0,LSG,SOLD
10,Luke Wood,Bowler,England,100.0,150.0,CSK,UNSOLD
11,Dilshan Madushanka,Bowler,Sri Lanka,50.0,150.0,CSK,UNSOLD
12,Naveen-ul-Haq,Allrounder,Afghanistan,50.0,50.0,LSG,SOLD
13,Akash Singh,Bowler,India,20.0,150.0,CSK,UNSOLD
14,Akash Vashist,Allrounder,India,20.0,20.0,RR,SOLD
15,Suryansh Shedge,Allrounder,India,20.0,150.0,CSK,UNSOLD
16,Johnson Charles,WK-Batter,West Indies,50.0,150.0,CSK,UNSOLD
17,Rassie van der Dussen,Batter,South Africa,200.0,150.0,CSK,UNSOLD
18,Mandeep Singh,Batter,India,50.0,50.0,KKR,SOLD
19,Murugan Ashwin,Bowler,India,20.0,20.0,RR,SOLD
20,KM Asif,Bowler,India,30.0,30.0,RR,SOLD
21,Dinesh Bana,WK-Batter,India,20.0,150.0,CSK,UNSOLD
22,Anmolpreet Singh,Batter,India,20.0,20.0,SRH,SOLD
23,Adam Zampa,Bowler,Australia,150.0,150.0,RR,SOLD
24,Kusal Mendis,WK-Batter,Sri Lanka,50.0,150.0,CSK,UNSOLD
25,Litton Das,WK-Batter,Bangladesh,50.0,50.0,KKR,SOLD
26,Rilee Rossouw,Batter,South Africa,200.0,460.0,DC,SOLD
27,Shivam Singh,Allrounder,India,20.0,20.0,PBKS,SOLD
28,Mohit Rathee,Allrounder,India,20.0,20.0,PBKS,SOLD
29,Bhagath Varma,Allrounder,India,20.0,20.0,CSK,SOLD
30,Nehal Wadhera,Allrounder,India,20.0,20.0,MI,SOLD
31,Shubhang Hegde,Allrounder,India,20.0,150.0,CSK,UNSOLD
32,Sonu Yadav,Allrounder,India,20.0,20.0,RCB,SOLD
33,Deepesh Nainwal,Allrounder,India,20.0,150.0,CSK,UNSOLD
34,Trilok Nag,Bowler,India,20.0,150.0,CSK,UNSOLD
35,Shubham Kapse,Bowler,India,20.0,150.0,CSK,UNSOLD
36,Utkarsh Singh,Allrounder,India,20.0,150.0,CSK,UNSOLD
37,Jitender Pal,Allrounder,India,20.0,150.0,CSK,UNSOLD
38,Kunal Singh Rathore,WK-Batter,India,20.0,20.0,RR,SOLD
39,Ajay Jadav Mandal,Allrounder,India,20.0,20.0,CSK,SOLD
40,Kulwant Khejroliya,Bowler,India,20.0,20.0,KKR,SOLD
41,Balu Surya,Allrounder,India,20.0,150.0,CSK,UNSOLD
42,Sanjay Raghunath,Batter,India,20.0,150.0,CSK,UNSOLD
43,Priyank Panchal,Batter,India,20.0,150.0,CSK,UNSOLD
44,Varun Aaron,Allrounder,India,50.0,150.0,CSK,UNSOLD
45,Tom Curran,Allrounder,England,75.0,150.0,CSK,UNSOLD
46,Rehan Ahmed,Allrounder,England,50.0,150.0,CSK,UNSOLD
47,Avinash Singh,Bowler,India,20.0,60.0,RCB,SOLD
48,Nitish Reddy,WK-Batter,India,20.0,20.0,SRH,SOLD
49,G Ajitesh,WK-Batter,India,20.0,150.0,CSK,UNSOLD
50,Sanjay Yadav,Allrounder,India,20.0,150.0,CSK,UNSOLD
51,David Wiese,Allrounder,Namibia,100.0,100.0,KKR,SOLD
52,Sumeet Verma,Allrounder,India,20.0,150.0,CSK,UNSOLD
53,Swapnil Singh,Allrounder,India,20.0,20.0,LSG,SOLD
54,Shams Mulani,Allrounder,India,20.0,20.0,MI,SOLD
55,Himanshu Bisht,Allrounder,India,20.0,150.0,CSK,UNSOLD
56,Mohit Sharma,Bowler,India,50.0,50.0,GT,SOLD
57,Joshua Little,Bowler,Ireland,50.0,440.00000000000006,GT,SOLD
